kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora 
IV Q 2022,PLN,5589000,6057000,-530000,2634000,814000,436119000,17489000,"863523,000","0,943","20,253",N
I Q 2023,PLN,7746000,6723000,854000,3412000,1155000,445545000,27334000,"863523,000","1,338","31,654",N
II Q 2023,PLN,6658000,6981000,1121000,4166000,1545000,441529000,26793000,"863523,000","1,789","31,028",N
III Q 2023,PLN,6857000,6942000,1027000,4158000,1458000,466380000,28679000,"863523,000","1,688","33,212",N
IV Q 2021,PLN,5860000,2482000,669000,2269000,963000,402129000,17080000,"863523,000","1,115","19,779",N
I Q 2022,PLN,6131000,3195000,859000,2366000,884000,424559000,16967000,"863523,000","1,024","19,649",N
II Q 2022,PLN,6191000,3573000,1042000,2167000,949000,429936000,14969000,"863523,000","1,099","17,335",N
III Q 2022,PLN,6386000,2358000,1042000,438000,727000,432449000,15575000,"863523,000","0,842","18,037",N
IV Q 2020,PLN,5707000,2214000,121000,1382000,721000,378974000,18777000,"863523,000","0,835","21,745",N
I Q 2021,PLN,5686000,2532000,308000,1609000,880000,395418000,19374000,"863523,000","1,019","22,436",N
II Q 2021,PLN,5831000,2420000,249000,1752000,754000,391342000,16916000,"863523,000","0,873","19,590",N
III Q 2021,PLN,5855000,2121000,615000,1824000,739000,396433000,17440000,"863523,000","0,856","20,196",N
IV Q 2019,PLN,5863000,2930000,587000,2024000,935000,343385000,16169000,"863523,000","1,083","18,724",N
I Q 2020,PLN,5762000,1856000,986000,655000,116000,357215000,16199000,"863523,000","0,134","18,759",N
II Q 2020,PLN,5690000,2293000,176000,400000,185000,376645000,16976000,"863523,000","0,214","19,659",N
III Q 2020,PLN,5865000,2123000,444000,1621000,890000,373481000,17889000,"863523,000","1,031","20,716",N
IV Q 2018,PLN,5629000,2471000,585000,1965000,786000,328554000,14925000,"863523,000","0,910","17,284",N
I Q 2019,PLN,5592000,3018000,182000,1487000,747000,337625000,15798000,"863523,000","0,865","18,295",N
II Q 2019,PLN,5742000,2595000,324000,1613000,734000,340079000,14311000,"863523,000","0,850","16,573",N
III Q 2019,PLN,5893000,2755000,472000,1956000,879000,337169000,15350000,"863523,000","1,018","17,776",N
IV Q 2017,PLN,5505000,2643000,160000,1698000,774000,317458000,14599000,"863523,000","0,896","16,906",N
I Q 2018,PLN,5458000,2219000,463000,1316000,627000,318199000,14877000,"863523,000","0,726","17,228",N
II Q 2018,PLN,5596000,2594000,415000,1740000,783000,321811000,13280000,"863523,000","0,907","15,379",N
III Q 2018,PLN,5667000,2611000,694000,2065000,1017000,320117000,14169000,"863523,000","1,178","16,408",N
IV Q 2016,PLN,4841000,876000,421000,1030000,626000,125296000,12998000,"863523,000","0,725","15,052",N
I Q 2017,PLN,5072000,1679000,54000,1259000,940000,126684000,13929000,"863523,000","1,089","16,130",N
II Q 2017,PLN,5275000,1355000,332000,918000,504000,295262000,13154000,"863523,000","0,584","15,233",N
III Q 2017,PLN,5502000,2801000,-70000,1620000,683000,300245000,13905000,"863523,000","0,791","16,103",N
IV Q 2015,PLN,4267330,328897,450931,664273,510505,105397000,12924000,"863523,000","0,591","14,967",N
I Q 2016,PLN,4317000,1057000,189000,716000,492000,108283000,13401000,"863523,000","0,570","15,519",N
II Q 2016,PLN,4669000,451000,496000,333000,168000,112945227,11771199,"863523,000","0,195","13,632",N
III Q 2016,PLN,4798000,1230000,72000,909000,649000,112914000,12377000,"863523,000","0,752","14,333",N
IV Q 2014,PLN,4286373,465597,164095,471227,403897,67572761,13166336,"863523,000","0,468","15,247",N
I Q 2015,PLN,4307040,1024342,348504,1154205,941332,71741982,14083247,"863523,000","1,090","16,309",N
II Q 2015,PLN,4436873,61631,539374,464749,380261,66079734,11852240,"863523,000","0,440","13,725",N
III Q 2015,PLN,4373757,324130,398191,660773,510902,67500857,12365623,"863523,000","0,592","14,320",N
IV Q 2013,PLN,4008529,653866,139563,664481,528206,62787304,13111290,"863523,000","0,612","15,183",N
I Q 2014,PLN,3989741,542647,548791,979569,760446,65044581,13887303,"863523,000","0,881","16,082",N
II Q 2014,PLN,4042858,827817,450215,1196584,959905,63821781,11916799,"863523,000","1,112","13,800",N
III Q 2014,PLN,4110398,810846,400602,1044313,843483,67717196,12778233,"863523,000","0,977","14,798",N
IV Q 2012,PLN,4055879,1135334,-617423,525814,415510,55909560,14190131,"863523,000","0,481","16,433",N
I Q 2013,PLN,4107727,428867,640682,1054341,837908,58760432,14873401,"863523,000","0,970","17,224",N
II Q 2013,PLN,4069513,540230,606357,1055069,837186,62598497,13208982,"863523,000","0,970","15,297",N
III Q 2013,PLN,4063000,891592,577694,1346607,1090196,61863049,12601068,"863523,000","1,262","14,593",N
IV Q 2011,PLN,3836039,553755,340059,614637,486927,52129282,12783162,"863523,000","0,564","14,803",N
I Q 2012,PLN,3868858,872798,286134,1028914,822291,55328867,13702003,"863523,000","0,952","15,868",N
II Q 2012,PLN,3997878,651106,496742,1093837,894642,54267604,12660569,"863523,000","1,036","14,662",N
III Q 2012,PLN,4082625,1045491,417506,1390143,1122738,56800666,13719534,"863523,000","1,300","15,888",N
IV Q 2010,PLN,3631880,591855,294203,710040,565062,50670557,12799800,"863523,000","0,654","14,823",N
I Q 2011,PLN,3572134,474059,450103,961856,791799,53640564,13646489,"863523,000","0,917","15,803",N
II Q 2011,PLN,3697565,605000,371289,934732,762164,57301278,12146354,"863523,000","0,883","14,066",N
III Q 2011,PLN,3784790,-38988,443423,396350,304534,54234820,12334897,"863523,000","0,353","14,284",N
IV Q 2009,PLN,3597730,890146,-46341,614660,562098,53176209,11266746,"0,000",,,N
I Q 2010,PLN,3444564,909805,227380,982148,807415,52577500,12053128,"0,000",,,N
II Q 2010,PLN,3558354,352335,120522,459293,362424,47575661,11338653,"863523,000","0,420","13,131",N
III Q 2010,PLN,3578215,923779,57844,877950,704330,49240420,12191856,"863523,000","0,816","14,119",N
IV Q 2008,PLN,0,0,0,0,0,59359041,20052222,"0,000",,,N
I Q 2009,PLN,3614264,416719,1132807,1433347,1144648,58834318,21018108,"0,000",,,N
II Q 2009,PLN,3615074,1086857,526559,1437801,1164201,58950458,22355817,"0,000",,,N
III Q 2009,PLN,3658146,1075279,128298,1080003,891998,61247148,23393206,"0,000",,,N
IV Q 2006,PLN,0,0,0,0,0,51329198,14325656,"0,000",,,N
IV Q 2007,PLN,0,0,0,0,0,54682353,17835943,"0,000",,,N
