kwartał,waluta,Przychody netto ze sprzedaży (tys.),Zysk (strata) z działal. oper. (tys.),Zysk (strata) brutto (tys.),Zysk (strata) netto (tys.)*,Amortyzacja (tys.) ,EBITDA (tys.),Aktywa (tys.),Kapitał własny (tys.)*,Liczba akcji (tys. szt.),Zysk na akcję (zł),Wartość księgowa na akcję (zł),Raport zbadany przez audytora ,TICKER
IV Q 2011,EUR,0.0,0.0,10397000,2440000,47000,0,1251525000,76414000,"0,000",,,N,SAN
IV Q 2008,EUR,0.0,0.0,0,0,0,0,1049632000,57587000,"0,000",,,N,SAN
IV Q 2009,EUR,0.0,0.0,0,0,0,0,1110529000,68666000,"0,000",,,N,SAN
IV Q 2010,EUR,0.0,0.0,0,0,0,0,1217501000,75019000,"0,000",,,N,SAN
I Q 2011,EUR,0.0,0.0,10257000,3092000,2108000,0,1208563000,73777000,"0,000",,,N,SAN
IV Q 2007,,0.0,0.0,0,0,0,0,912915000,55199000,"0,000",,,N,SAN
I Q 2023,PLN,51800.0,6241.0,44053,5943,4517,2795,659023,220324,"189767,342","1,161","0,024",N,GTN
II Q 2023,PLN,49549.0,6298.0,40826,10959,7551,2288,498248,102211,"189767,342","0,539","0,040",N,GTN
III Q 2023,PLN,61773.0,6157.0,57415,-2995,-7232,2360,587452,103347,"189767,342","0,545","-0,038",N,GTN
IV Q 2023,PLN,69814.0,5784.0,60595,56430,22470,2481,616628,107054,"189767,342","0,564","0,118",N,GTN
I Q 2022,PLN,86326.0,11264.0,71408,-216985,-218335,3538,1095428,442028,"7590693,680","0,058","-0,029",N,GTN
II Q 2022,PLN,76247.0,4893.0,77634,595,-5720,3211,1009468,234751,"189767,342","1,237","-0,030",N,GTN
III Q 2022,PLN,51013.0,6120.0,47677,14681,23195,2342,917697,217852,"189767,342","1,148","0,122",N,GTN
IV Q 2022,PLN,40558.0,4964.0,30341,-28084,-17881,2369,691288,215808,"189767,342","1,137","-0,094",N,GTN
I Q 2021,PLN,63138.0,15208.0,61182,23739,13901,8499,4315717,652827,"7590693,680","0,086","0,002",N,GTN
II Q 2021,PLN,69652.0,17169.0,70437,19845,-167049,6376,3807297,628939,"7590693,680","0,083","-0,022",N,GTN
III Q 2021,PLN,83562.0,19490.0,83990,31588,32239,6730,3989122,691218,"7590693,680","0,091","0,004",N,GTN
IV Q 2021,PLN,96123.0,19097.0,82392,22641,-10836,4624,1455497,662274,"7590693,680","0,087","-0,001",N,GTN
I Q 2020,PLN,110865.0,33540.0,116368,30191,-200599,25890,21110688,805368,"7590693,680","0,106","-0,026",N,GTN
II Q 2020,PLN,73311.0,11824.0,64468,2235,6111,20867,19918558,810731,"7590693,680","0,107","0,001",N,GTN
III Q 2020,PLN,61827.0,16329.0,52306,4631,8853,18780,19200832,786817,"7590693,680","0,104","0,001",N,GTN
IV Q 2020,PLN,-218268.0,-51435.0,-201452,-51763,-161617,13515,4323797,625112,"7590693,680","0,082","-0,021",N,GTN
I Q 2019,PLN,355934.0,83561.0,233801,-43116,-23741,24549,25687533,816715,"7590693,680","0,108","-0,003",N,GTN
II Q 2019,PLN,414288.0,63731.0,291350,11428,35446,27582,25662216,800872,"7590693,680","0,106","0,005",N,GTN
III Q 2019,PLN,391231.0,66506.0,270731,74847,46936,26474,24101561,871334,"7590693,680","0,115","0,006",N,GTN
IV Q 2019,PLN,-744119.0,-61796.0,-348769,80811,42678,26536,22927195,886427,"7590693,680","0,117","0,006",N,GTN
I Q 2018,PLN,382838.0,117366.0,327034,46992,24522,14583,27777844,1906229,"7590693,680","0,251","0,003",N,GTN
II Q 2018,PLN,393677.0,118064.0,99852,-377594,-184032,15950,28226395,1718068,"7590693,680","0,226","-0,024",N,GTN
III Q 2018,PLN,416319.0,109344.0,278815,26434,15204,14918,28089939,1676443,"7590693,680","0,221","0,002",N,GTN
IV Q 2018,PLN,335617.0,51699.0,118971,-1019963,-814198,10714,25143684,750728,"7590693,680","0,099","-0,107",N,GTN
I Q 2017,PLN,402001.0,158757.0,367019,56820,17176,15734,26486420,2121742,"7312893,680","0,290","0,002",N,GTN
II Q 2017,PLN,426061.0,146766.0,390082,104151,46838,15337,27091147,2109101,"7312893,680","0,288","0,006",N,GTN
III Q 2017,PLN,391470.0,190986.0,367204,192184,88240,15179,27562314,2233874,"7590693,680","0,294","0,012",N,GTN
IV Q 2017,PLN,408168.0,88653.0,319386,77881,35499,12529,27941154,2120271,"7590693,680","0,279","0,005",N,GTN
I Q 2016,PLN,353397.0,137996.0,288318,32659,33331,15163,22694830,1795728,"7312893,680","0,246","0,005",N,GTN
II Q 2016,PLN,365550.0,134248.0,288895,266302,168004,11209,23604298,2001557,"7312893,680","0,274","0,023",N,GTN
III Q 2016,PLN,395576.0,155771.0,341866,96093,36624,14653,24704072,2030387,"7312893,680","0,278","0,005",N,GTN
IV Q 2016,PLN,400211.0,126422.0,356303,57677,15372,17438,25839176,2067291,"7312893,680","0,283","0,002",N,GTN
I Q 2015,PLN,360393.0,116539.0,255827,27298,34992,15623,20688476,1930940,"7312893,680","0,264","0,005",N,GTN
II Q 2015,PLN,359392.0,155468.0,271702,7287,38887,14494,20798639,1914432,"7312893,680","0,262","0,005",N,GTN
III Q 2015,PLN,352308.0,178369.0,305924,49151,46931,15730,21523805,1821263,"7312893,680","0,249","0,006",N,GTN
IV Q 2015,PLN,378050.0,130517.0,297815,-12055,6024,20710,23163748,1777508,"7312893,680","0,243","0,001",N,GTN
I Q 2014,PLN,364203.0,147439.0,284714,51456,32298,12381,13423375,2100516,"7312350,420","0,287","0,004",N,GTN
II Q 2014,PLN,379732.0,122754.0,316140,66630,41317,12091,15807608,2069238,"7312350,420","0,283","0,006",N,GTN
III Q 2014,PLN,450554.0,125795.0,316288,179286,106042,13103,19215508,2211549,"7312893,680","0,302","0,015",N,GTN
IV Q 2014,PLN,425979.0,177278.0,358129,11935,-5739,26125,20124409,2009349,"7312893,680","0,275","-0,001",N,GTN
I Q 2013,PLN,340844.0,102595.0,222224,49900,38022,10497,10595354,1931157,"7328004,340","0,264","0,005",N,GTN
II Q 2013,PLN,327304.0,151375.0,273352,87612,65997,10435,11441261,1922617,"7311004,340","0,263","0,009",N,GTN
III Q 2013,PLN,352040.0,143302.0,260972,60063,63217,11032,12963644,2033458,"7311661,330","0,278","0,009",N,GTN
IV Q 2013,PLN,419186.0,111320.0,289282,80474,79172,18349,13347396,2049169,"7312350,420","0,280","0,011",N,GTN
I Q 2012,PLN,239855.0,97937.0,359072,114526,77301,7987,12166940,1397994,"7319944,020","0,191","0,011",N,GTN
II Q 2012,PLN,242586.0,101990.0,344019,624261,422875,8765,0,0,"7319944,020","0,000","0,058",N,GTN
III Q 2012,PLN,250346.0,122335.0,202452,44693,39372,9714,8556277,1847805,"7319944,020","0,252","0,005",N,GTN
IV Q 2012,PLN,314136.0,60897.0,161493,5211,41894,8506,9760489,1829269,"7328004,340","0,250","0,006",N,GTN
I Q 2011,PLN,874854.0,245714.0,695568,143972,88719,18298,49829426,4471880,"7137853,190","0,627","0,012",N,GTN
II Q 2011,PLN,965650.0,241733.0,775199,869745,731846,46986,0,0,"7137853,190","0,000","0,103",N,GTN
III Q 2011,PLN,1082014.0,266163.0,872882,156308,93615,11089,60137746,5553648,"7137853,190","0,778","0,013",N,GTN
IV Q 2011,PLN,1228325.0,245384.0,855789,146741,90620,2064,61803513,5663471,"7319944,020","0,774","0,012",N,GTN
I Q 2010,PLN,719294.0,165415.0,554701,63690,110221,14642,38118960,3935716,"7124159,810","0,552","0,015",N,GTN
II Q 2010,PLN,55002.0,25442.0,168407,102574,104811,15861,0,0,"7124159,810","0,000","0,015",N,GTN
III Q 2010,PLN,784149.0,211286.0,611350,83803,56084,16449,42482864,4112283,"7137853,190","0,576","0,008",N,GTN
IV Q 2010,PLN,838024.0,266083.0,730882,215105,149975,17644,46854411,4432746,"7137853,190","0,621","0,021",N,GTN
I Q 2009,PLN,758325.0,148279.0,661660,150365,103180,14986,34084484,3692225,"7109303,540","0,519","0,015",N,GTN
II Q 2009,PLN,666727.0,137097.0,484911,118244,80451,14573,34275100,3771989,"7109303,540","0,531","0,011",N,GTN
III Q 2009,PLN,702119.0,122766.0,435219,58817,45994,15462,35519571,3761226,"7109303,540","0,529","0,006",N,GTN
IV Q 2009,PLN,692555.0,180023.0,486236,30207,46399,17654,35559331,3828820,"7124159,810","0,537","0,007",N,GTN
I Q 2008,PLN,381319.0,67676.0,453897,165305,126846,10528,21528732,3219092,"7097869,860","0,454","0,018",N,GTN
II Q 2008,PLN,529970.0,82636.0,570866,210049,151292,11218,23464757,3366461,"7097869,860","0,474","0,021",N,GTN
III Q 2008,PLN,631984.0,93435.0,604080,226110,165170,13524,26685351,3532523,"7097869,860","0,498","0,023",N,GTN
IV Q 2008,PLN,636142.0,66699.0,535790,99563,65215,13056,31024684,3594427,"7109303,540","0,506","0,009",N,GTN
I Q 2007,PLN,214062.0,88305.0,240016,104268,80059,7997,12511102,2136905,"6449232,580","0,331","0,012",N,GTN
II Q 2007,PLN,267796.0,86249.0,333559,392600,325171,9471,16610608,2903992,"7089955,000","0,410","0,046",N,GTN
III Q 2007,PLN,300347.0,96860.0,404428,152451,110613,9650,18118066,3013066,"7089955,000","0,425","0,016",N,GTN
IV Q 2007,PLN,361224.0,47296.0,388070,153097,110521,10405,0,0,"7097869,860","0,000","0,016",N,GTN
I Q 2006,PLN,146098.0,31440.0,136608,31872,23309,6565,0,0,"5353280,000","0,000","0,004",N,GTN
II Q 2006,PLN,160355.0,56295.0,170856,62951,56219,6488,9074241,1179973,"5353280,000","0,220","0,011",N,GTN
III Q 2006,PLN,169986.0,57809.0,180136,62556,43566,6384,9855997,1248039,"5578117,760","0,224","0,008",N,GTN
IV Q 2006,PLN,190996.0,58478.0,181860,47776,37132,10074,12045140,2056188,"6449232,580","0,319","0,006",N,GTN
I Q 2005,PLN,104580.0,,15099,18089,10015,425,5224445,425581,"315000,000","1,351","0,032",N,GTN
II Q 2005,PLN,119844.0,,10375,29697,16172,0,5951949,798591,"315000,000","2,535","0,051",N,GTN
III Q 2005,PLN,118701.0,17875.0,93235,14898,10947,4219,0,0,"5343350,000","0,000","0,002",N,GTN
IV Q 2005,PLN,141917.0,28798.0,133614,51129,45547,6556,7718004,1107180,"5353280,000","0,207","0,009",N,GTN
I Q 2004,PLN,176.0,,-1563,-313,-292,425,57872,57294,"70000,000","0,818","-0,004",N,GTN
II Q 2004,PLN,0.0,0.0,0,0,0,0,3358704,387607,"3150000,000","0,123","0,000",N,GTN
III Q 2004,PLN,0.0,0.0,0,9669,4038,7215,3365693,391915,"3150000,000","0,124","0,001",N,GTN
IV Q 2004,PLN,0.0,0.0,0,3900,272,7731,4606437,409312,"3150000,000","0,130","0,000",N,GTN
II Q 2003,,0.0,0.0,0,0,0,0,63371,61565,"160000,000","0,385","0,000",N,GTN
III Q 2003,,0.0,0.0,0,-1006,-1013,386,61582,60552,"700000,000","0,087","-0,001",N,GTN
IV Q 2003,,0.0,0.0,0,-2585,-2422,389,58874,58130,"700000,000","0,083","-0,003",N,GTN
IV Q 2022,PLN,10047000.0,3000.0,-482000,-529000,581000,584000,45320000,16581000,"1752549,394","-0,302","9,461",N,TPE
I Q 2023,PLN,13559000.0,1670000.0,1392000,1034000,533000,2203000,51026000,17553000,"1752549,394","0,590","10,016",N,TPE
II Q 2023,PLN,9723000.0,1452000.0,1134000,839000,553000,2005000,47700000,18289000,"1752549,394","0,479","10,436",N,TPE
III Q 2023,PLN,9160000.0,608000.0,489000,385000,556000,1164000,48898000,18609000,"1752549,394","0,220","10,618",N,TPE
IV Q 2021,PLN,7307000.0,344000.0,337000,-119000,532000,876000,40075000,16491000,"1752549,394","-0,068","9,410",N,TPE
I Q 2022,PLN,9620000.0,1322000.0,1207000,900000,537000,1859000,43148000,17530000,"1752549,394","0,514","10,003",N,TPE
II Q 2022,PLN,8081000.0,-350000.0,-482000,-273000,562000,212000,42676000,17471000,"1752549,394","-0,156","9,969",N,TPE
III Q 2022,PLN,8567000.0,-34000.0,-133000,-232000,536000,502000,44495000,17235000,"1752549,394","-0,132","9,834",N,TPE
IV Q 2020,PLN,5629051.0,-2654128.0,-3001268,-2566076,523057,-2131071,39696000,15834000,"1752549,394","-1,464","9,035",N,TPE
I Q 2021,PLN,6445000.0,1193000.0,1097000,839000,521000,1714000,41599248,16778066,"1752549,394","0,479","9,574",N,TPE
II Q 2021,PLN,5421000.0,-484000.0,-500000,-483000,536000,52000,38518457,16336078,"1752549,394","-0,276","9,321",N,TPE
III Q 2021,PLN,5991000.0,275000.0,191000,101000,512000,787000,38621258,16496663,"1752549,394","0,058","9,413",N,TPE
IV Q 2019,PLN,5090425.0,-1199435.0,-1292584,-985182,554036,-645399,41917765,18192226,"1752549,394","-0,562","10,380",N,TPE
I Q 2020,PLN,5467766.0,440092.0,231408,162066,485085,925177,42941080,18282475,"1752549,394","0,092","10,432",N,TPE
II Q 2020,PLN,4719012.0,116679.0,121067,-133984,514201,630880,40010337,17684743,"1752549,394","-0,076","10,091",N,TPE
III Q 2020,PLN,5034171.0,544357.0,469793,367994,494657,1039014,40518759,18070845,"1752549,394","0,210","10,311",N,TPE
IV Q 2018,PLN,4819946.0,-529100.0,-583548,-647979,471027,-58073,37097477,18295824,"1752549,394","-0,370","10,440",N,TPE
I Q 2019,PLN,5312809.0,701849.0,667879,535264,487394,1189243,38283421,18823135,"1752549,394","0,305","10,740",N,TPE
II Q 2019,PLN,4238729.0,250299.0,211010,136279,470783,721082,39183499,18970129,"1752549,394","0,078","10,824",N,TPE
III Q 2019,PLN,4696067.0,475903.0,378108,302731,479520,955423,41223119,19168281,"1752549,394","0,173","10,937",N,TPE
IV Q 2017,PLN,4550562.0,226531.0,275997,188466,437329,663860,35835016,18036446,"1752549,394","0,108","10,292",N,TPE
I Q 2018,PLN,4636886.0,850244.0,791098,636153,456351,1306595,35480795,18744706,"1752549,394","0,363","10,696",N,TPE
II Q 2018,PLN,4188648.0,59198.0,-65731,-69124,467191,526389,35052682,18686055,"1752549,394","-0,039","10,662",N,TPE
III Q 2018,PLN,4476268.0,355497.0,362828,285830,444372,799869,36455026,18967636,"1752549,394","0,163","10,823",N,TPE
IV Q 2016,PLN,4654899.0,275567.0,139075,92989,423475,699042,33456894,16649266,"1752549,394","0,053","9,500",N,TPE
I Q 2017,PLN,4591081.0,773553.0,819107,639830,410270,1183823,33216131,17273527,"1752549,394","0,365","9,856",N,TPE
II Q 2017,PLN,4166943.0,463641.0,421485,364337,416408,880049,33225894,17637954,"1752549,394","0,208","10,064",N,TPE
III Q 2017,PLN,4115965.0,342546.0,241063,188030,429461,772007,35619908,17844827,"1752549,394","0,107","10,182",N,TPE
IV Q 2015,PLN,4630199.0,-3433476.0,-3501450,-2883958,517983,-2915493,32071433,16018328,"1752549,394","-1,646","9,140",N,TPE
I Q 2016,PLN,4564505.0,457180.0,411595,323245,413618,870798,32250551,16349738,"1752549,394","0,184","9,329",N,TPE
II Q 2016,PLN,4276521.0,-313766.0,-378920,-319810,407754,93988,31661822,16056107,"1752549,394","-0,182","9,162",N,TPE
III Q 2016,PLN,4150564.0,382541.0,337111,271044,423879,806420,31913686,16348985,"1752549,394","0,155","9,329",N,TPE
IV Q 2014,PLN,4859798.0,283172.0,184543,132192,428601,711773,34559193,17966448,"1752549,394","0,075","10,252",N,TPE
I Q 2015,PLN,4789786.0,585571.0,574373,502043,435307,1020878,34172992,18482673,"1752549,394","0,286","10,546",N,TPE
II Q 2015,PLN,4466828.0,458731.0,284430,216481,435296,894027,34322074,18462754,"1752549,394","0,124","10,535",N,TPE
III Q 2015,PLN,4377627.0,487958.0,454876,358117,444194,932152,34949928,18837494,"1752549,394","0,204","10,749",N,TPE
IV Q 2013,PLN,4917418.0,220690.0,139023,92024,440010,660700,32355570,17327165,"1752549,394","0,053","9,887",N,TPE
I Q 2014,PLN,4887264.0,632434.0,557996,395930,455747,1088181,31670077,17814332,"1752549,394","0,226","10,165",N,TPE
II Q 2014,PLN,4339051.0,450020.0,368323,334360,456358,906378,31577237,17793054,"1752549,394","0,191","10,153",N,TPE
III Q 2014,PLN,4412231.0,464487.0,387353,318411,456211,920698,32137089,18106785,"1752549,394","0,182","10,332",N,TPE
IV Q 2012,PLN,6538742.0,332553.0,269096,207194,437699,770252,31273677,16306681,"1752549,394","0,118","9,305",N,TPE
I Q 2013,PLN,5164102.0,789400.0,737996,559158,432521,1221921,30749673,16800448,"1752549,394","0,319","9,586",N,TPE
II Q 2013,PLN,4542422.0,400374.0,349572,290074,431124,831498,30689681,16766721,"1752549,394","0,166","9,567",N,TPE
III Q 2013,PLN,4540102.0,523602.0,459739,367062,423414,947016,31425277,17143926,"1752549,394","0,209","9,782",N,TPE
IV Q 2011,PLN,5588381.0,324564.0,318798,250612,361617,686181,28526996,15632321,"1752549,394","0,143","8,920",N,TPE
I Q 2012,PLN,6454853.0,558540.0,499212,381164,416352,974892,28852487,16054855,"1752549,394","0,217","9,161",N,TPE
II Q 2012,PLN,5859133.0,694865.0,643815,475837,411336,1106201,28968106,15964308,"1752549,394","0,272","9,109",N,TPE
III Q 2012,PLN,5900257.0,579171.0,537188,412196,420817,999988,29676658,16336651,"1752549,394","0,235","9,322",N,TPE
IV Q 2010,PLN,4478004.0,271331.0,211970,157058,329390,600721,23430284,14704825,"3154588,909","0,050","4,661",N,TPE
I Q 2011,PLN,5299075.0,510995.0,487037,382471,349588,860583,22789982,15091762,"1752549,394","0,218","8,611",N,TPE
II Q 2011,PLN,5032069.0,427083.0,428367,321562,348244,775327,23404475,15157415,"1752549,394","0,183","8,649",N,TPE
III Q 2011,PLN,4835697.0,382862.0,366795,290471,351648,734510,23461511,15459848,"1752549,394","0,166","8,821",N,TPE
IV Q 2009,PLN,3663573.0,254204.0,217726,163140,328982,583186,22155493,11858566,"2797256,712","0,058","4,239",N,TPE
I Q 2010,PLN,3794333.0,476046.0,449729,291813,346604,822650,21807983,12144911,"2797256,712","0,104","4,342",N,TPE
II Q 2010,PLN,3465956.0,306705.0,271729,189954,341924,648629,22016702,12507950,"2860989,772","0,066","4,372",N,TPE
III Q 2010,PLN,3690586.0,345177.0,324122,219831,340860,686037,22515176,12722949,"2860989,772","0,077","4,447",N,TPE
IV Q 2007,PLN,0.0,0.0,0,0,0,0,20247698,11026782,"2797256,712","0,000","3,942",N,TPE
IV Q 2008,PLN,0.0,0.0,0,0,0,0,20823133,11125910,"2797256,712","0,000","3,977",N,TPE
I Q 2009,PLN,3549505.0,334666.0,305859,186024,324642,659308,0,0,"2797256,712","0,067","0,000",N,TPE
III Q 2009,PLN,3251762.0,354776.0,333429,203709,342954,697730,0,0,"2797256,712","0,073","0,000",N,TPE
I Q 2023,PLN,3139000.0,392000.0,330000,270000,618000,1010000,25697000,13554000,"1312357,479","0,206","10,328",N,OPL
II Q 2023,PLN,3224000.0,343000.0,298000,239000,650000,993000,26139000,13229000,"1312357,479","0,182","10,080",N,OPL
III Q 2023,PLN,3115000.0,377000.0,290000,237000,626000,1003000,25698000,13429000,"1312357,479","0,181","10,233",N,OPL
IV Q 2023,PLN,3492000.0,109000.0,90000,72000,677000,786000,26826000,13444000,"1312357,479","0,055","10,244",N,OPL
I Q 2022,PLN,2931000.0,244000.0,156000,125000,627000,871000,26238000,12983000,"1312357,479","0,095","9,893",N,OPL
II Q 2022,PLN,3055000.0,337000.0,269000,243000,629000,966000,26554000,13245000,"1312357,479","0,185","10,093",N,OPL
III Q 2022,PLN,3123000.0,324000.0,238000,193000,639000,963000,26394000,13579000,"1312357,479","0,147","10,347",N,OPL
IV Q 2022,PLN,3379000.0,256000.0,204000,163000,646000,902000,26766000,13451000,"1312357,479","0,124","10,249",N,OPL
I Q 2021,PLN,2918000.0,116000.0,50000,39000,691000,807000,24207000,10681000,"1312357,479","0,030","8,139",N,OPL
II Q 2021,PLN,2954000.0,224000.0,179000,116000,660000,884000,23733000,10809000,"1312357,479","0,088","8,236",N,OPL
III Q 2021,PLN,2885000.0,1856000.0,1770000,1586000,665000,2521000,25401000,12431000,"1312357,479","1,209","9,472",N,OPL
IV Q 2021,PLN,3171000.0,15000.0,-69000,-69000,714000,729000,26157000,12609000,"1312357,479","-0,053","9,608",N,OPL
I Q 2020,PLN,2804000.0,88000.0,-44000,-38000,714000,802000,24199000,10484000,"1312357,479","-0,029","7,989",N,OPL
II Q 2020,PLN,2828000.0,109000.0,60000,52000,744000,853000,24610000,10537000,"1312357,479","0,040","8,029",N,OPL
III Q 2020,PLN,2793000.0,150000.0,67000,53000,728000,878000,24189000,10610000,"1312357,479","0,040","8,085",N,OPL
IV Q 2020,PLN,3083000.0,57000.0,-21000,-21000,759000,816000,24300000,10597000,"1312357,479","-0,016","8,075",N,OPL
I Q 2019,PLN,2778000.0,71000.0,-3000,-2000,654000,725000,24011000,10492000,"1312357,479","-0,002","7,995",N,OPL
II Q 2019,PLN,2759000.0,139000.0,66000,52000,667000,806000,24475000,10533000,"1312357,479","0,040","8,026",N,OPL
