<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZUK,D,20111228,000000,12.0688,12.4184,12.0593,12.4184,4017.8947366613,0
ZUK,D,20111230,000000,12.0251,12.1942,12.0251,12.1942,118.9473684157,0
ZUK,D,20120102,000000,12.3358,12.5191,12.1971,12.5191,12155.7894731372,0
ZUK,D,20120103,000000,12.5191,13.072,12.5191,13.072,2151.5789472716,0
ZUK,D,20120104,000000,13.4311,13.4406,13.0255,13.0255,3650.5263156252,0
ZUK,D,20120105,000000,12.8877,13.4406,12.8877,13.3019,8827.3684206554,0
ZUK,D,20120109,000000,13.3019,13.7351,13.1642,13.1642,4012.6315787668,0
ZUK,D,20120110,000000,13.8548,13.8548,13.8083,13.8083,618.9473683932,0
ZUK,D,20120111,000000,13.9004,14.1303,13.4036,14.1303,3022.1052630219,0
ZUK,D,20120112,000000,13.624,14.1303,13.6154,14.1303,994.7368420605001,0
ZUK,D,20120113,000000,14.1769,14.4524,13.8083,13.8083,3754.7368419363,0
ZUK,D,20120116,000000,14.1769,14.269,13.3941,13.3941,2739.9999998767003,0
ZUK,D,20120117,000000,14.3612,14.3612,13.9004,14.0847,283.1578947241,0
ZUK,D,20120118,000000,14.0847,14.0847,13.7627,14.0847,5085.2631576659005,0
ZUK,D,20120119,000000,13.946,14.3327,13.8083,14.3327,10495.7894732119,0
ZUK,D,20120120,000000,14.6281,15.1896,14.6281,14.839,7285.2631575669,0
ZUK,D,20120123,000000,15.6494,15.6494,14.9407,15.6494,8336.842104888,0
ZUK,D,20120124,000000,15.6494,15.8337,15.6494,15.8337,13063.157894149,0
ZUK,D,20120125,000000,15.9258,16.5699,15.9258,16.5699,13536.842104654,0
ZUK,D,20120126,000000,16.5699,17.0307,16.3856,16.8464,6493.684210234101,0
ZUK,D,20120127,000000,16.5699,16.6621,16.5699,16.6621,5051.5789471411,0
ZUK,D,20120130,000000,16.6621,16.6621,16.5699,16.5699,492.6315789252,0
ZUK,D,20120131,000000,16.5756,16.5756,16.0218,16.1063,8031.578947007,0
ZUK,D,20120201,000000,16.5699,16.8464,16.5699,16.8464,4054.7368419228,0
ZUK,D,20120202,000000,16.8464,17.1219,16.8464,17.1133,5045.2631576677,0
ZUK,D,20120203,000000,17.1219,17.9512,17.1219,17.9512,11041.0526310821,0
ZUK,D,20120206,000000,18.2267,18.8442,17.4173,18.6875,35373.6842089345,0
ZUK,D,20120207,000000,18.8252,19.608,18.8252,19.608,26642.105261959,0
ZUK,D,20120208,000000,20.0042,21.9555,19.9852,21.4491,43362.1052612066,0
ZUK,D,20120209,000000,23.0138,24.8549,22.554,22.9862,58915.789471033,0
ZUK,D,20120210,000000,23.75,23.75,21.2648,23.0138,27196.8421040393,0
ZUK,D,20120213,000000,23.8422,24.7542,23.8422,24.3485,32344.2105248603,0
ZUK,D,20120214,000000,24.8454,26.6865,24.8454,24.947,104824.21052159871,0
ZUK,D,20120215,000000,25.3156,26.2362,25.3156,26.2362,43191.5789454248,0
ZUK,D,20120216,000000,26.8803,28.9883,26.7881,28.9883,171657.8947291175,0
ZUK,D,20120217,000000,29.9184,30.286,27.1472,28.0678,55032.6315764709,0
ZUK,D,20120220,000000,28.6292,28.9883,27.1567,27.6165,15228.421051946301,0
ZUK,D,20120221,000000,27.7087,27.7087,25.7944,27.2023,32348.4210511759,0
ZUK,D,20120222,000000,27.2574,27.2574,26.125,26.9724,15416.842104569401,0
ZUK,D,20120223,000000,26.9724,27.9851,26.6779,27.893,8359.9999996238,0
ZUK,D,20120224,000000,27.9851,28.8962,27.893,28.8135,38195.7894719654,0
ZUK,D,20120227,000000,29.2733,31.2066,27.8654,30.5805,107381.05262674681,0
ZUK,D,20120228,000000,30.5625,31.4374,30.5625,31.3453,48602.1052609708,0
ZUK,D,20120229,000000,31.4555,32.6705,29.4671,31.142,24439.9999989002,0
ZUK,D,20120301,000000,31.1885,31.1885,29.2458,29.3655,16232.6315782169,0
ZUK,D,20120302,000000,29.4481,29.9184,28.0773,29.8994,14285.2631572519,0
ZUK,D,20120305,000000,29.9184,29.9184,28.5922,28.8591,2487.3684209407,0
ZUK,D,20120306,000000,28.5371,28.5371,26.9449,28.0953,30037.8947354904,0
ZUK,D,20120307,000000,27.6165,28.3072,27.6165,28.3072,3716.8421050959,0
ZUK,D,20120308,000000,28.5095,28.5095,27.893,27.911,4263.157894545,0
ZUK,D,20120309,000000,28.0773,28.5095,27.7182,28.0773,1099.9999999505,0
ZUK,D,20120312,000000,28.5371,29.4396,28.3252,29.4396,4986.3157892493,0
ZUK,D,20120313,000000,29.8262,30.286,28.5371,28.6387,13464.210525709901,0
ZUK,D,20120314,000000,28.5371,30.4703,28.5371,29.9184,15252.631578261,0
ZUK,D,20120315,000000,30.1939,31.1705,30.1939,31.1705,25953.684209358402,0
ZUK,D,20120316,000000,31.4099,32.8634,31.2987,32.8634,37154.7368404333,0
ZUK,D,20120319,000000,33.1493,33.9502,33.1398,33.2415,20199.999999091,0
ZUK,D,20120320,000000,33.2415,33.6927,31.7595,33.1313,24812.6315778308,0
ZUK,D,20120321,000000,32.8548,33.8305,32.8548,33.6006,21593.6842095546,0
ZUK,D,20120322,000000,33.8305,34.9714,33.1398,34.4195,30161.0526302217,0
ZUK,D,20120323,000000,34.429,34.9809,33.8761,34.0604,7251.5789470421005,0
ZUK,D,20120326,000000,35.9015,35.9015,33.6006,34.6589,11056.842104765601,0
ZUK,D,20120327,000000,34.0604,35.2479,34.0604,34.7966,9778.947367981,0
ZUK,D,20120328,000000,34.9809,34.9809,34.0604,34.2447,9777.8947364021,0
ZUK,D,20120329,000000,34.0604,34.5211,33.6927,34.0509,9654.7368416708,0
ZUK,D,20120330,000000,33.688,34.9857,33.688,34.0642,6108.4210523567,0
ZUK,D,20120402,000000,34.6133,34.8888,33.6006,34.2352,12121.0526310335,0
ZUK,D,20120403,000000,34.2352,34.2903,33.4163,34.0604,7732.6315785994,0
ZUK,D,20120404,000000,34.0604,34.7966,33.1398,34.7966,7152.6315786255,0
ZUK,D,20120405,000000,34.5211,34.5211,33.6006,34.2352,10037.8947363904,0
ZUK,D,20120410,000000,34.0604,34.0604,33.1398,33.1398,5865.2631576308,0
ZUK,D,20120411,000000,33.1398,33.6006,32.68,32.8634,2362.1052630516,0
ZUK,D,20120412,000000,32.2193,32.8634,30.8845,32.8634,10869.4736837214,0
ZUK,D,20120413,000000,33.1313,33.1313,31.9428,32.2193,771.5789473337001,0
ZUK,D,20120416,000000,31.9428,32.2193,31.2987,31.483,4601.0526313719,0
ZUK,D,20120417,000000,30.8389,31.7595,28.5561,28.5561,8039.9999996382,0
ZUK,D,20120418,000000,28.5371,30.286,27.893,28.3072,6108.4210523567,0
ZUK,D,20120419,000000,28.5371,28.5371,27.6165,27.626,5376.8421050212,0
ZUK,D,20120420,000000,28.0307,28.0307,25.2235,25.5911,10757.894736358001,0
ZUK,D,20120423,000000,25.7574,25.7574,23.1981,23.9343,18978.947367567,0
ZUK,D,20120424,000000,23.9343,24.9014,23.9343,24.3951,3304.2105261671,0
ZUK,D,20120425,000000,24.5784,28.5371,24.4958,25.7754,6012.6315786768,0
ZUK,D,20120426,000000,28.3528,28.4725,26.3464,26.3464,3111.5789472284,0
ZUK,D,20120427,000000,26.696,27.6441,26.3739,27.3401,3303.1578945882,0
ZUK,D,20120430,000000,27.5206,27.5206,27.1539,27.1539,1224.2105262607001,0
ZUK,D,20120502,000000,27.1567,27.5985,26.696,27.5985,793.6842104906,0
ZUK,D,20120504,000000,26.6314,27.1567,26.6314,27.1567,1515.7894736160001,0
ZUK,D,20120507,000000,26.696,26.696,26.3283,26.3283,1879.9999999154002,0
ZUK,D,20120508,000000,26.696,26.696,25.4078,25.9597,4859.9999997813,0
ZUK,D,20120509,000000,24.929,25.9597,23.4375,24.7076,4192.6315787587,0
ZUK,D,20120510,000000,24.7076,24.7076,23.6579,23.9438,2704.2105261941,0
ZUK,D,20120511,000000,24.3029,24.3029,23.0138,23.75,2034.7368420137,0
ZUK,D,20120514,000000,23.6864,23.6864,22.3697,23.0138,3150.5263156477,0
ZUK,D,20120515,000000,23.1059,25.6006,22.2775,25.1313,5555.7894734342,0
ZUK,D,20120516,000000,24.8549,25.1218,23.9343,25.0848,2577.8947367261003,0
ZUK,D,20120517,000000,25.0848,25.0848,24.0265,24.6155,2895.7894735539003,0
ZUK,D,20120518,000000,23.5667,24.643,23.4745,24.643,4224.2105261257,0
ZUK,D,20120521,000000,23.5847,24.8549,23.5847,24.8549,1315.789473625,0
ZUK,D,20120522,000000,24.8549,24.8549,24.3951,24.8368,385.26315787740003,0
ZUK,D,20120523,000000,23.9809,24.8368,23.9809,24.6706,688.4210526006,0
