<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNI,D,20201221,000000,7.03933,7.03933,6.58809,6.62411,7969.314259114236,0
UNI,D,20201222,000000,6.76855,6.84077,6.76855,6.84077,806.6765112826231,0
UNI,D,20201223,000000,6.84077,6.96712,6.84077,6.85878,2793.5911397438495,0
UNI,D,20201228,000000,7.03933,7.07535,6.96712,7.05734,3087.0264881433,0
UNI,D,20201229,000000,7.05734,7.54469,7.05734,7.31002,7432.251776434799,0
UNI,D,20201230,000000,7.36415,7.54469,7.36415,7.49048,5122.666543460523,0
UNI,D,20210104,000000,7.40025,7.77928,7.38225,7.67104,21022.3147202042,0
UNI,D,20210105,000000,7.8515,8.12228,7.8515,8.03205,10416.41347454877,0
UNI,D,20210107,000000,7.8515,8.42908,7.83348,8.30274,14756.22482652314,0
UNI,D,20210108,000000,8.39297,8.41107,7.8696,8.39297,27343.626764322464,0
UNI,D,20210111,000000,8.48329,8.48329,8.24862,8.32084,2574.8681125235944,0
UNI,D,20210112,000000,8.37496,8.48329,7.88761,8.10418,8145.808583059293,0
UNI,D,20210113,000000,8.12228,8.12228,7.94172,7.94172,14016.681125575244,0
UNI,D,20210114,000000,8.03205,8.48329,8.03205,8.30274,6075.519335311139,0
UNI,D,20210115,000000,8.1764,8.35686,8.15839,8.1945,1432.5275495663227,0
UNI,D,20210118,000000,8.1764,8.44718,8.1764,8.39297,3402.117581812083,0
UNI,D,20210119,000000,8.46519,8.46519,8.39297,8.44718,2599.772219583326,0
UNI,D,20210120,000000,8.48329,8.48329,8.1764,8.1764,2975.4994000062393,0
UNI,D,20210121,000000,8.23051,8.24862,8.21251,8.24862,1340.490632171661,0
UNI,D,20210122,000000,8.26663,8.42908,8.26663,8.39297,3879.6267650008567,0
UNI,D,20210125,000000,8.42908,8.42908,8.32084,8.39297,1349.1529302793938,0
UNI,D,20210126,000000,8.32084,8.39297,8.32084,8.39297,1683.7341946905758,0
UNI,D,20210127,000000,8.48329,8.48329,8.12228,8.12228,2830.405906701714,0
UNI,D,20210128,000000,8.14028,8.21251,7.88761,8.21251,6551.945731236447,0
UNI,D,20210129,000000,8.48329,8.75399,8.30274,8.66375,30213.01301250897,0
UNI,D,20210201,000000,8.66375,9.11537,8.66375,9.11537,19966.597138324254,0
UNI,D,20210202,000000,9.20495,9.47555,8.75399,8.93435,14382.66322062716,0
UNI,D,20210203,000000,9.34071,10.0629,9.29545,9.56605,67052.68407743359,0
UNI,D,20210204,000000,9.47555,10.2882,9.47555,9.97238,20234.045592400304,0
UNI,D,20210205,000000,10.2882,10.6494,10.1978,10.6494,15806.528472085749,0
UNI,D,20210208,000000,10.6041,10.7398,10.243,10.7398,15979.774434240408,0
UNI,D,20210209,000000,10.3788,10.7398,10.1978,10.3335,7124.740193610282,0
UNI,D,20210210,000000,10.3788,10.7842,10.3788,10.6947,6154.562805544201,0
UNI,D,20210211,000000,10.6494,10.8295,10.6494,10.6494,4764.263959253076,0
UNI,D,20210212,000000,10.8747,11.0105,10.6947,10.8295,3263.520812088357,0
UNI,D,20210215,000000,10.8295,11.0557,10.4684,10.6494,9379.10327614776,0
UNI,D,20210216,000000,10.8295,10.8295,10.243,10.3788,5477.82076587757,0
UNI,D,20210217,000000,10.4241,10.5588,10.1978,10.4684,7588.17314237399,0
UNI,D,20210218,000000,10.6041,10.6041,9.92721,9.97238,6977.481125778822,0
UNI,D,20210219,000000,10.1978,10.3788,9.79139,10.3335,11173.281771711521,0
UNI,D,20210222,000000,10.2882,10.2882,9.92721,10.1072,5094.514074610392,0
UNI,D,20210223,000000,10.0177,10.0177,9.20495,9.65656,11200.351453298188,0
UNI,D,20210224,000000,9.74707,9.88193,9.47555,9.88193,2957.092016527307,0
UNI,D,20210225,000000,9.88193,10.1525,9.43121,9.88193,2762.1903091033178,0
UNI,D,20210226,000000,9.88193,9.88193,9.52079,9.83665,1671.823534792443,0
UNI,D,20210301,000000,9.79139,10.6494,9.29545,10.6041,16369.577849088386,0
UNI,D,20210302,000000,10.6947,11.4611,10.6947,11.4611,18274.200645525743,0
UNI,D,20210303,000000,11.5517,11.777,11.1905,11.5064,21090.530317802797,0
UNI,D,20210304,000000,11.2811,11.2811,10.6041,10.7842,30555.173787763808,0
UNI,D,20210305,000000,10.8295,10.9652,10.2882,10.4241,9793.810798055472,0
UNI,D,20210308,000000,10.243,10.6494,10.1978,10.4241,4799.995938947474,0
UNI,D,20210309,000000,10.4241,10.6041,10.3788,10.6041,6043.03571740714,0
UNI,D,20210310,000000,10.6494,10.6494,10.4241,10.6494,2902.9526533539765,0
UNI,D,20210311,000000,10.6041,10.6494,10.4684,10.4684,2088.6966312270874,0
UNI,D,20210312,000000,10.6494,10.6494,10.4241,10.6494,1293.9307798425968,0
UNI,D,20210315,000000,10.6494,10.6494,10.4241,10.6494,1906.7883709646972,0
UNI,D,20210316,000000,10.6494,10.6494,10.1978,10.243,8719.685832696596,0
UNI,D,20210317,000000,10.4684,10.5588,9.43121,9.83665,18502.668758117605,0
UNI,D,20210318,000000,9.83665,10.0629,9.74707,9.74707,2208.8860174718807,0
UNI,D,20210319,000000,9.74707,10.1072,9.74707,9.97238,4110.260452119245,0
UNI,D,20210322,000000,10.0177,10.0177,9.74707,9.88193,4078.859621478713,0
UNI,D,20210323,000000,9.83665,9.83665,9.65656,9.79139,938.7765574255493,0
UNI,D,20210324,000000,9.79139,9.92721,9.56605,9.61131,971.2601753295476,0
UNI,D,20210325,000000,9.61131,9.65656,9.47555,9.56605,1142.3405629572715,0
UNI,D,20210326,000000,9.56605,9.74707,9.56605,9.70181,2172.071250514016,0
UNI,D,20210329,000000,9.61131,9.92721,9.61131,9.88193,1697.8104291156417,0
UNI,D,20210330,000000,9.92721,9.97238,9.92721,9.97238,668.0797415588972,0
UNI,D,20210331,000000,9.97238,10.0177,9.70181,10.0177,579.2911859546354,0
UNI,D,20210401,000000,10.1072,10.1072,9.65656,9.92721,4900.695154449868,0
UNI,D,20210406,000000,9.92721,10.1525,9.83665,10.1072,2093.0277802809537,0
UNI,D,20210407,000000,10.1072,10.1072,9.65656,9.74707,4506.560590548023,0
UNI,D,20210408,000000,9.83665,9.92721,9.65656,9.74707,5732.275772792224,0
UNI,D,20210409,000000,9.74707,9.74707,9.61131,9.65656,3494.1544992067447,0
UNI,D,20210412,000000,9.79139,10.1072,9.79139,10.1072,6290.994000740993,0
